,Nightlord,Shifting Earth,Spawn Point,Special Event,Night 1 Boss,Night 2 Boss,Extra Night Boss,Night 1 Circle,Night 2 Circle,Castle,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Evergaol,Evergaol,Evergaol,Evergaol,Evergaol,Evergaol,Evergaol,Arena Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rot Blessing,Frenzy Tower,Scale-Bearing Merchant
11,Gladius,Default,Minor Erdtree,Day 2 Meteor Strike,Demi-Human Queen and Swordmaster,Tree Sentinel and Royal Cavalrymen,,Northeast Corner,West Stormhill Graveyard,Trolls,Camp - Banished Knights,Great Church - Oracle Envoys,Ruins - Runebear,Camp - Flame Chariots,Ruins - Runebear,Ruins - Runebear,Fort - Crystalians,Ruins - Wormface,Ruins - Runebear,Great Church - Guardian Golem,Map Event - West Mistwood,Ruins - Ancient Heroes of Zamor,Fort - Lordsworn Captain,Camp - Elder Lion,Ruins - Wormface,Camp - Flame Chariots,Small Camp - Soldiers,Church - Normal,Small Camp - Caravans,Sorcerer's Rise - Missing Statue,Small Camp - Soldiers,Sorcerer's Rise - Windy Trees,Church - Normal,Small Camp - Demi-Humans,Sorcerer's Rise - Pool Reflection,Church - Normal,Small Camp - Dogs,Grave Warden Duelist,Nox Warriors,Bloodhound Knight,Godskin Apostle,Crucible Knight with Sword,Stoneskin Lords,Beastmen of Farum Azula,Grafted Scion,Black Blade Kindred,Black Knife Assassin,Flying Dragon,Magma Wyrm,Ancestor Spirit,Ancient Hero of Zamor,Night's Cavalry,Red Wolf,Leonine Misbegotten,Ulcerated Tree Spirit,Elder Lion,,,,,,,,,,,
12,Gladius,Default,Stormhill South of Gate,,Demi-Human Queen and Swordmaster,Tree Sentinel and Royal Cavalrymen,,Northwest Lake,Northwest Mistwood Pond,Trolls,Fort - Crystalians,Fort - Abductor Virgin,Great Church - Mausoleum Knight,Camp - Royal Army Knights,Ruins - Battlemages,Great Church - Oracle Envoys,Ruins - Battlemages,Camp - Redmane Knights,Ruins - Ancient Heroes of Zamor,Ruins - Ancient Heroes of Zamor,Camp - Banished Knights,Camp - Royal Army Knights,Fort - Crystalians,Fort - Crystalians,Ruins - Ancient Heroes of Zamor,Ruins - Perfumer,Church - Normal,Small Camp - Caravans,Small Camp - Wandering Nobles,Church - Normal,Small Camp - Dogs and Soldiers,Sorcerer's Rise - Missing Statue,Sorcerer's Rise - Windy Trees,Small Camp - Guilty,Small Camp - Caravans,Church - Normal,Sorcerer's Rise - Withered Trees,Crucible Knight with Sword,Bloodhound Knight,Godskin Noble,Crystalians,Beastly Brigade,Omen,Stoneskin Lords,Black Knife Assassin,Death Rite Bird,Golden Hippopotamus,Ancestor Spirit,Royal Revenant,Flying Dragon,Red Wolf,Magma Wyrm,Grafted Scion,Leonine Misbegotten,Black Blade Kindred,Ancient Hero of Zamor,,,,,,,,,,,
13,Gladius,Default,Far Southwest,,Demi-Human Queen and Swordmaster,Morgott,,Northwest Corner,South of Castle,Trolls,Great Church - Guardian Golem,Great Church - Mausoleum Knight,Fort - Lordsworn Captain,Ruins - Ancient Heroes of Zamor,Ruins - Ancient Heroes of Zamor,Camp - Banished Knights,Fort - Lordsworn Captain,Camp - Flame Chariots,Ruins - Albinaurics,Ruins - Erdtree Burial Watchdogs,Camp - Royal Army Knights,Camp - Royal Army Knights,Fort - Guardian Golem,Ruins - Erdtree Burial Watchdogs,Camp - Flame Chariots,Camp - Flame Chariots,Small Camp - Wandering Nobles,Small Camp - Caravans,Small Camp - Guilty,Church - Normal,Township - Township,Church - Normal,Sorcerer's Rise - Imp Statue,Small Camp - Guilty,Small Camp - Dogs and Soldiers,Church - Normal,Small Camp - Dogs and Soldiers,Dragonkin Soldier,Ancient Dragon,Omen,Nox Warriors,Grave Warden Duelist,Bloodhound Knight,Crucible Knight with Spear,Bell Bearing Hunter,Erdtree Avatar,Night's Cavalry,Magma Wyrm,Flying Dragon,Grafted Scion,Leonine Misbegotten,Royal Revenant,Ancestor Spirit,Golden Hippopotamus,Ulcerated Tree Spirit,Miranda Blossom,,,,,,,,,,,
14,Gladius,Default,Far Southwest,,Bell Bearing Hunter,Tree Sentinel and Royal Cavalrymen,,East of Saintsbridge,Southwest Corner,Trolls,Fort - Lordsworn Captain,Great Church - Mausoleum Knight,Camp - Elder Lion,Ruins - Albinauric Archers,Camp - Banished Knights,Fort - Guardian Golem,Ruins - Perfumer,Camp - Flame Chariots,Ruins - Perfumer,Ruins - Albinaurics,Fort - Lordsworn Captain,Camp - Elder Lion,Great Church - Mausoleum Knight,Great Church - Oracle Envoys,Ruins - Albinauric Archers,Ruins - Perfumer,Small Camp - Rats and Demi-Humans,Church - Normal,Small Camp - Caravans,Small Camp - Soldiers,Church - Normal,Small Camp - Soldiers,Church - Normal,Small Camp - Misbegotten,Small Camp - Misbegotten,Small Camp - Misbegotten,Sorcerer's Rise - Unlit Candle,Crucible Knight with Sword,Banished Knights,Nox Warriors,Grave Warden Duelist,Godskin Apostle,Omen,Crystalians,Red Wolf,Death Rite Bird,Royal Revenant,Ancestor Spirit,Royal Carian Knight,Demi-Human Queen,Magma Wyrm,Leonine Misbegotten,Draconic Tree Sentinel,Elder Lion,Ancient Hero of Zamor,Grafted Scion,,,,,,,,,,,Ruins North of Castle
15,Gladius,Default,Northeast of Saintsbridge,,Bell Bearing Hunter,Tree Sentinel and Royal Cavalrymen,,Northwest Mistwood Pond,South Lake,Crucible Knights,Ruins - Depraved Perfumer,Camp - Royal Army Knights,Fort - Abductor Virgin,Ruins - Wormface,Great Church - Mausoleum Knight,Camp - Royal Army Knights,Camp - Redmane Knights,Fort - Guardian Golem,Ruins - Depraved Perfumer,Ruins - Wormface,Ruins - Perfumer,Camp - Flame Chariots,Ruins - Depraved Perfumer,Fort - Guardian Golem,Great Church - Fire Monk,Fort - Guardian Golem,Small Camp - Soldiers,Sorcerer's Rise - Withered Trees,Sorcerer's Rise - Fleeing Stump,Small Camp - Caravans,Church - Normal,Sorcerer's Rise - Missing Statue,Church - Normal,Church - Normal,Small Camp - Caravans,Small Camp - Misbegotten,Small Camp - Rats and Demi-Humans,Stoneskin Lords,Bloodhound Knight,Nox Warriors,Beastly Brigade,Beastmen of Farum Azula,Crucible Knight with Spear,Godskin Apostle,Black Knife Assassin,Ulcerated Tree Spirit,Flying Dragon,Night's Cavalry,Red Wolf,Miranda Blossom,Leonine Misbegotten,Royal Carian Knight,Grafted Scion,Erdtree Avatar,Demi-Human Queen,Death Rite Bird,,,,,,,,,,,
16,Gladius,Default,Northeast of Saintsbridge,Day 1 Meteor Strike,Demi-Human Queen and Swordmaster,Tree Sentinel and Royal Cavalrymen,,Southwest Corner,Southwest Mistwood,Trolls,Ruins - Ancient Heroes of Zamor,Ruins - Depraved Perfumer,Great Church - Fire Monk,Great Church - Fire Monk,Camp - Frenzied Flame Troll,Ruins - Beastmen of Farum Azula,Ruins - Depraved Perfumer,Fort - Crystalians,Fort - Abductor Virgin,Fort - Crystalians,Camp - Flame Chariots,Great Church - Oracle Envoys,Map Event - Artist's Shack,Camp - Royal Army Knights,Fort - Crystalians,Camp - Royal Army Knights,Small Camp - Dogs,Sorcerer's Rise - Fake Building,Small Camp - Caravans,Church - Normal,Sorcerer's Rise - Above Door,Church - Normal,Small Camp - Guilty,Small Camp - Guilty,Small Camp - Dogs,Church - Normal,Small Camp - Foot Soldiers,Nox Warriors,Stoneskin Lords,Crucible Knight with Sword,Crucible Knight with Spear,Crystalians,Beastly Brigade,Omen,Grafted Scion,Magma Wyrm,Elder Lion,Black Knife Assassin,Leonine Misbegotten,Death Rite Bird,Royal Revenant,Erdtree Avatar,Draconic Tree Sentinel,Red Wolf,Black Blade Kindred,Miranda Blossom,,,,,,,,,,,
17,Gladius,Default,Below Summonwater Hawk,,Bell Bearing Hunter,Tree Sentinel and Royal Cavalrymen,,West Stormhill Graveyard,Southwest Corner,Banished Knights,Fort - Guardian Golem,Ruins - Erdtree Burial Watchdogs,Camp - Redmane Knights,Fort - Guardian Golem,Great Church - Oracle Envoys,Ruins - Erdtree Burial Watchdogs,Camp - Elder Lion,Ruins - Runebear,Ruins - Runebear,Camp - Elder Lion,Ruins - Erdtree Burial Watchdogs,Fort - Crystalians,Ruins - Albinauric Archers,Great Church - Oracle Envoys,Great Church - Guardian Golem,Camp - Leonine Misbegotten,Small Camp - Caravans,Sorcerer's Rise - Missing Statue,Church - Normal,Small Camp - Guilty,Small Camp - Dogs and Soldiers,Church - Normal,Church - Normal,Small Camp - Dogs and Soldiers,Small Camp - Foot Soldiers,Small Camp - Caravans,Sorcerer's Rise - Above Door,Godskin Apostle,Crucible Knight with Sword,Death Rite Bird,Bloodhound Knight,Banished Knights,Grave Warden Duelist,Beastly Brigade,Red Wolf,Ancestor Spirit,Miranda Blossom,Flying Dragon,Draconic Tree Sentinel,Royal Revenant,Erdtree Avatar,Ancient Hero of Zamor,Demi-Human Queen,Night's Cavalry,Grafted Scion,Royal Carian Knight,,,,,,,,,,,
18,Gladius,Default,Above Stormhill Tunnel Entrance,Day 1 Meteor Strike,Bell Bearing Hunter,Tree Sentinel and Royal Cavalrymen,,Northwest Mistwood Pond,Northwest Lake,Trolls,Camp - Banished Knights,Camp - Banished Knights,Ruins - Perfumer,Great Church - Oracle Envoys,Ruins - Sanguine Noble,Great Church - Mausoleum Knight,Map Event - Northeast Stormhill,Great Church - Mausoleum Knight,Fort - Guardian Golem,Fort - Guardian Golem,Camp - Leonine Misbegotten,Camp - Flame Chariots,Fort - Lordsworn Captain,Ruins - Battlemages,Ruins - Battlemages,Ruins - Battlemages,Small Camp - Dogs and Soldiers,Small Camp - Guilty,Small Camp - Caravans,Small Camp - Foot Soldiers,Sorcerer's Rise - Above Door,Small Camp - Dogs and Soldiers,Church - Normal,Church - Normal,Small Camp - Guilty,Small Camp - Dogs and Soldiers,Church - Normal,Bloodhound Knight,Ancient Dragon,Grave Warden Duelist,Beastmen of Farum Azula,Crucible Knight with Sword,Godskin Apostle,Banished Knights,Red Wolf,Black Blade Kindred,Erdtree Avatar,Elder Lion,Demi-Human Queen,Miranda Blossom,Leonine Misbegotten,Flying Dragon,Royal Revenant,Ulcerated Tree Spirit,Black Knife Assassin,Magma Wyrm,,,,,,,,,,,
19,Gladius,Default,West of Warmaster's Shack,,Demi-Human Queen and Swordmaster,Morgott,,South Lake,East of Saintsbridge,Crucible Knights,Great Church - Oracle Envoys,Ruins - Beastmen of Farum Azula,Camp - Royal Army Knights,Fort - Abductor Virgin,Camp - Royal Army Knights,Fort - Abductor Virgin,Great Church - Guardian Golem,Ruins - Beastmen of Farum Azula,Fort - Guardian Golem,Ruins - Beastmen of Farum Azula,Camp - Redmane Knights,Camp - Banished Knights,Ruins - Wormface,Ruins - Beastmen of Farum Azula,Ruins - Perfumer,Ruins - Wormface,Small Camp - Dogs and Soldiers,Small Camp - Soldiers,Small Camp - Soldiers,Church - Normal,Small Camp - Caravans and Nobles,Church - Normal,Sorcerer's Rise - Unlit Candle,Sorcerer's Rise - Imp Statue,Church - Normal,Small Camp - Caravans,Small Camp - Soldiers,Beastmen of Farum Azula,Nox Warriors,Crystalians,Crucible Knight with Sword,Bloodhound Knight,Dragonkin Soldier,Grave Warden Duelist,Royal Revenant,Magma Wyrm,Erdtree Avatar,Grafted Scion,Leonine Misbegotten,Black Knife Assassin,Elder Lion,Flying Dragon,Red Wolf,Ulcerated Tree Spirit,Tree Sentinel,Night's Cavalry,,,,,,,,,,,
20,Gladius,Mountaintop,Below Summonwater Hawk,Day 2 Night Horde,Bell Bearing Hunter,Tree Sentinel and Royal Cavalrymen,,South Lake,Southeast Mountaintop,Banished Knights,Fort - Guardian Golem,Ruins - Wormface,Great Church - Fire Monk,,,,,Ruins - Beastmen of Farum Azula,Camp - Royal Army Knights,Camp - Banished Knights,Great Church - Guardian Golem,Fort - Crystalians,Ruins - Beastmen of Farum Azula,Fort - Crystalians,Camp - Banished Knights,Ruins - Wormface,Small Camp - Guilty,Sorcerer's Rise - Imp Statue,Church - Normal,,,Church - Normal,Small Camp - Guilty,Church - Normal,Church - Rats,Small Camp - Dogs and Soldiers,Small Camp - Dogs and Soldiers,Grave Warden Duelist,,,,Crystalians,Dragonkin Soldier,Nox Warriors,Red Wolf,Royal Carian Knight,Elder Lion,Erdtree Avatar,,,,,Magma Wyrm,Black Knife Assassin,Grafted Scion,Draconic Tree Sentinel,,,,,,,,,,,Northeast Corner
21,Gladius,Mountaintop,Southeast of Lake,Day 1 Meteor Strike,Bell Bearing Hunter,Morgott,,Northeast Corner,Southeast Mountaintop,Trolls,Camp - Leonine Misbegotten,Great Church - Fire Monk,Fort - Abductor Virgin,,,,,Ruins - Erdtree Burial Watchdogs,Fort - Guardian Golem,Camp - Banished Knights,Ruins - Erdtree Burial Watchdogs,Map Event - Northwest Mistwood,Camp - Banished Knights,Great Church - Guardian Golem,Great Church - Guardian Golem,Ruins - Sanguine Noble,Church - Normal,Small Camp - Dogs and Soldiers,Sorcerer's Rise - Unlit Candle,,,Small Camp - Nobles and Soldiers,Sorcerer's Rise - Fake Building,Small Camp - Caravans,Church - Normal,Small Camp - Misbegotten,Church - Normal,Bloodhound Knight,,,,Dragonkin Soldier,Beastmen of Farum Azula,Stoneskin Lords,Ancient Hero of Zamor,Erdtree Avatar,Miranda Blossom,Black Blade Kindred,,,,,Flying Dragon,Draconic Tree Sentinel,Royal Revenant,Golden Hippopotamus,,,,,,,,,,,
22,Gladius,Mountaintop,Stormhill South of Gate,,Demi-Human Queen and Swordmaster,Tree Sentinel and Royal Cavalrymen,,Northeast Corner,Southeast Mountaintop,Trolls,Ruins - Wormface,Fort - Crystalians,Great Church - Mausoleum Knight,,,,,Camp - Leonine Misbegotten,Great Church - Oracle Envoys,Fort - Guardian Golem,Camp - Elder Lion,Camp - Elder Lion,Ruins - Albinaurics,Ruins - Albinaurics,Fort - Guardian Golem,Great Church - Oracle Envoys,Church - Normal,Small Camp - Misbegotten,Small Camp - Foot Soldiers,,,Church - Normal,Small Camp - Soldiers,Sorcerer's Rise - Fleeing Stump,Church - Normal,Small Camp - Caravans,Sorcerer's Rise - Windy Trees,Dragonkin Soldier,,,,Nox Warriors,Beastly Brigade,Crystalians,Leonine Misbegotten,Magma Wyrm,Night's Cavalry,Death Rite Bird,,,,,Black Knife Assassin,Ancestor Spirit,Draconic Tree Sentinel,Elder Lion,,,,,,,,,,,
23,Gladius,Mountaintop,Below Summonwater Hawk,,Bell Bearing Hunter,Morgott,,Northeast Corner,Southeast Mountaintop,Banished Knights,Great Church - Guardian Golem,Fort - Crystalians,Camp - Redmane Knights,,,,,Ruins - Erdtree Burial Watchdogs,Camp - Banished Knights,Camp - Redmane Knights,Ruins - Wormface,Great Church - Guardian Golem,Great Church - Fire Monk,Camp - Banished Knights,Fort - Lordsworn Captain,Ruins - Erdtree Burial Watchdogs,Church - Normal,Small Camp - Soldiers,Small Camp - Misbegotten,,,Church - Normal,Small Camp - Soldiers,Sorcerer's Rise - Fleeing Stump,Small Camp - Shack,Church - Normal,Township - Township,Beastly Brigade,,,,Bloodhound Knight,Crucible Knight with Sword,Death Rite Bird,Leonine Misbegotten,Ulcerated Tree Spirit,Miranda Blossom,Flying Dragon,,,,,Royal Carian Knight,Ancient Hero of Zamor,Elder Lion,Tree Sentinel,,,,,,,,,,,Southeast Lakeshore
24,Gladius,Mountaintop,Below Summonwater Hawk,,Demi-Human Queen and Swordmaster,Morgott,,Southwest Mistwood,Southeast Mountaintop,Trolls,Ruins - Sanguine Noble,Ruins - Sanguine Noble,Camp - Banished Knights,,,,,Camp - Redmane Knights,Great Church - Fire Monk,Ruins - Perfumer,Camp - Banished Knights,Great Church - Mausoleum Knight,Ruins - Sanguine Noble,Fort - Lordsworn Captain,Fort - Crystalians,Ruins - Sanguine Noble,Small Camp - Caravans,Township - Township,Small Camp - Guilty,,,Church - Normal,Church - Normal,Small Camp - Dogs and Soldiers,Small Camp - Wandering Nobles,Church - Normal,Sorcerer's Rise - Unlit Candle,Stoneskin Lords,,,,Grave Warden Duelist,Banished Knights,Dragonkin Soldier,Red Wolf,Magma Wyrm,Black Knife Assassin,Bell Bearing Hunter,,,,,Ancestor Spirit,Night's Cavalry,Death Rite Bird,Royal Revenant,,,,,,,,,,,
25,Gladius,Crater,Southeast of Lake,,Bell Bearing Hunter,Tree Sentinel and Royal Cavalrymen,,West Stormhill Graveyard,North of Crater,Trolls,Ruins - Perfumer,Fort - Lordsworn Captain,Camp - Banished Knights,Ruins - Wormface,,Great Church - Guardian Golem,,Camp - Redmane Knights,Fort - Guardian Golem,Ruins - Perfumer,Great Church - Guardian Golem,,,Great Church - Oracle Envoys,,Fort - Lordsworn Captain,Small Camp - Caravans,Church - Normal,Township - Township,,Small Camp - Dogs and Soldiers,Small Camp - Caravans and Nobles,Church - Normal,Small Camp - Dogs,Sorcerer's Rise - Above Door,Church - Normal,,Stoneskin Lords,,Omen,,Nox Warriors,Godskin Apostle,,Grafted Scion,Black Blade Kindred,Black Knife Assassin,Ancestor Spirit,Death Rite Bird,,,Elder Lion,Flying Dragon,Royal Revenant,,,,,,,,,,,,,
26,Gladius,Crater,Far Southwest,,Demi-Human Queen and Swordmaster,Tree Sentinel and Royal Cavalrymen,,South of Castle,North of Crater,Trolls,Ruins - Wormface,Great Church - Guardian Golem,Ruins - Depraved Perfumer,Camp - Redmane Knights,,Great Church - Oracle Envoys,,Fort - Abductor Virgin,Ruins - Depraved Perfumer,Camp - Redmane Knights,Fort - Lordsworn Captain,,,Ruins - Wormface,,Camp - Leonine Misbegotten,Small Camp - Foot Soldiers,Sorcerer's Rise - Unlit Candle,Church - Normal,,Small Camp - Dogs,Small Camp - Soldiers,Church - Normal,Church - Normal,Small Camp - Dogs,Small Camp - Dogs,,Bloodhound Knight,,Grave Warden Duelist,,Banished Knights,Dragonkin Soldier,,Royal Revenant,Ancestor Spirit,Draconic Tree Sentinel,Elder Lion,Death Rite Bird,,,Night's Cavalry,Miranda Blossom,Erdtree Avatar,,,,,,,,,,,,,Northeast Corner
27,Gladius,Crater,East of Cavalry Bridge,,Demi-Human Queen and Swordmaster,Morgott,,Northeast Corner,North of Crater,Banished Knights,Ruins - Perfumer,Camp - Elder Lion,Great Church - Mausoleum Knight,Fort - Crystalians,,Ruins - Erdtree Burial Watchdogs,,Camp - Banished Knights,Fort - Guardian Golem,Ruins - Erdtree Burial Watchdogs,Great Church - Fire Monk,,,Camp - Banished Knights,,Fort - Guardian Golem,Church - Normal,Sorcerer's Rise - Fleeing Stump,Small Camp - Guilty,,Church - Normal,Church - Normal,Small Camp - Caravans and Nobles,Township - Township,Sorcerer's Rise - Fake Building,Small Camp - Soldiers,,Stoneskin Lords,,Beastmen of Farum Azula,,Crucible Knight with Sword,Godskin Duo,,Leonine Misbegotten,Ancestor Spirit,Black Blade Kindred,Grafted Scion,Ulcerated Tree Spirit,,,Ancient Hero of Zamor,Red Wolf,Bell Bearing Hunter,,,,,,,,,,,,,
28,Gladius,Crater,West of Warmaster's Shack,Day 2 Night Horde,Bell Bearing Hunter,Morgott,,Northwest Lake,North of Crater,Crucible Knights,Camp - Royal Army Knights,Fort - Abductor Virgin,Great Church - Fire Monk,Great Church - Mausoleum Knight,,Ruins - Depraved Perfumer,,Ruins - Depraved Perfumer,Fort - Lordsworn Captain,Camp - Elder Lion,Ruins - Erdtree Burial Watchdogs,,,Great Church - Fire Monk,,Ruins - Erdtree Burial Watchdogs,Small Camp - Dogs,Township - Township,Sorcerer's Rise - Withered Trees,,Small Camp - Caravans and Nobles,Church - Normal,Church - Normal,Church - Normal,Small Camp - Dogs and Soldiers,Small Camp - Caravans,,Stoneskin Lords,,Crucible Knight with Spear,,Banished Knights,Beastly Brigade,,Black Knife Assassin,Death Rite Bird,Miranda Blossom,Tree Sentinel,Leonine Misbegotten,,,Erdtree Avatar,Elder Lion,Ulcerated Tree Spirit,,,,,,,,,,,,,
29,Gladius,Crater,West of Warmaster's Shack,Day 1 Meteor Strike,Bell Bearing Hunter,Morgott,,Northwest Mistwood Pond,North of Crater,Trolls,Fort - Crystalians,Great Church - Oracle Envoys,Map Event - Gatefront,Fort - Crystalians,,Great Church - Mausoleum Knight,,Camp - Banished Knights,Ruins - Albinaurics,Camp - Leonine Misbegotten,Fort - Lordsworn Captain,,,Ruins - Beastmen of Farum Azula,,Ruins - Albinaurics,Church - Normal,Small Camp - Soldiers,Small Camp - Soldiers,,Small Camp - Nobles and Soldiers,Sorcerer's Rise - Fleeing Stump,Church - Normal,Small Camp - Dogs,Small Camp - Dogs,Church - Normal,,Beastmen of Farum Azula,,Banished Knights,,Nox Warriors,Crucible Knight with Sword,,Grafted Scion,Erdtree Avatar,Flying Dragon,Black Knife Assassin,Ulcerated Tree Spirit,,,Royal Revenant,Red Wolf,Draconic Tree Sentinel,,,,,,,,,,,,,Southeast Lakeshore
30,Gladius,Rotted Woods,Below Summonwater Hawk,,Demi-Human Queen and Swordmaster,Morgott,,Northeast Corner,Southeast Rotted Woods,Crucible Knights,Fort - Guardian Golem,Camp - Royal Army Knights,Ruins - Beastmen of Farum Azula,Ruins - Perfumer,Great Church - Mausoleum Knight,Great Church - Oracle Envoys,Great Church - Mausoleum Knight,,,,,Fort - Crystalians,Camp - Royal Army Knights,Ruins - Perfumer,Camp - Banished Knights,Fort - Guardian Golem,Small Camp - Soldiers,Church - Normal,Sorcerer's Rise - Fake Building,Church - Normal,Sorcerer's Rise - Withered Trees,,,,Small Camp - Shack,Small Camp - Caravans,Church - Normal,Godskin Apostle,Death Rite Bird,Crucible Knight with Spear,Crystalians,,Beastly Brigade,Banished Knights,Black Knife Assassin,Royal Carian Knight,Elder Lion,Miranda Blossom,Red Wolf,Night's Cavalry,Golden Hippopotamus,Flying Dragon,,,Black Blade Kindred,Leonine Misbegotten,Magma Wyrm,Tree Sentinel,Ancestor Spirit,Bell Bearing Hunter,Ulcerated Tree Spirit,Putrid Ancestral Followers,Erdtree Avatar,Putrid Ancestral Followers,Southwest,,
31,Gladius,Rotted Woods,West of Warmaster's Shack,,Demi-Human Queen and Swordmaster,Morgott,,Northwest Corner,Southeast Rotted Woods,Crucible Knights,Ruins - Beastmen of Farum Azula,Ruins - Battlemages,Camp - Banished Knights,Fort - Lordsworn Captain,Ruins - Beastmen of Farum Azula,Camp - Banished Knights,Camp - Leonine Misbegotten,,,,,Camp - Leonine Misbegotten,Great Church - Guardian Golem,Fort - Guardian Golem,Great Church - Mausoleum Knight,Ruins - Beastmen of Farum Azula,Church - Normal,Church - Normal,Small Camp - Dogs,Church - Normal,Church - Rats,,,,Township - Township,Small Camp - Caravans,Sorcerer's Rise - Fleeing Stump,Bloodhound Knight,Omen,Godskin Apostle,Beastly Brigade,,Stoneskin Lords,Godskin Noble,Leonine Misbegotten,Death Rite Bird,Grafted Scion,Draconic Tree Sentinel,Miranda Blossom,Tree Sentinel,Ancient Hero of Zamor,Night's Cavalry,,,Black Knife Assassin,Golden Hippopotamus,Putrid Ancestral Followers,Erdtree Avatar,Ancestor Spirit,Magma Wyrm,Bell Bearing Hunter,Draconic Tree Sentinel,Black Blade Kindred,Putrid Ancestral Followers,Northeast,,
32,Gladius,Rotted Woods,Below Summonwater Hawk,Day 2 Meteor Strike,Bell Bearing Hunter,Tree Sentinel and Royal Cavalrymen,,Northwest Corner,Southeast Rotted Woods,Banished Knights,Ruins - Albinaurics,Fort - Lordsworn Captain,Great Church - Guardian Golem,Camp - Leonine Misbegotten,Great Church - Mausoleum Knight,Ruins - Albinaurics,Fort - Crystalians,,,,,Great Church - Guardian Golem,Camp - Leonine Misbegotten,Ruins - Runebear,Camp - Frenzied Flame Troll,Map Event - Summonwater,Church - Normal,Small Camp - Misbegotten,Sorcerer's Rise - Missing Statue,Church - Normal,Small Camp - Caravans,,,,Small Camp - Demi-Humans,Small Camp - Soldiers,Church - Normal,Omen,Dragonkin Soldier,Stoneskin Lords,Banished Knights,,Crystalians,Godskin Apostle,Leonine Misbegotten,Black Blade Kindred,Grafted Scion,Golden Hippopotamus,Draconic Tree Sentinel,Death Rite Bird,Night's Cavalry,Red Wolf,,,Black Knife Assassin,Elder Lion,Putrid Ancestral Followers,Tree Sentinel,Ulcerated Tree Spirit,Ancestor Spirit,Erdtree Avatar,Magma Wyrm,Royal Carian Knight,Putrid Ancestral Followers,West,,
33,Gladius,Rotted Woods,Below Summonwater Hawk,Day 2 Night Horde,Demi-Human Queen and Swordmaster,Morgott,,Northeast Corner,Southeast Rotted Woods,Banished Knights,Camp - Frenzied Flame Troll,Camp - Banished Knights,Ruins - Battlemages,Ruins - Perfumer,Camp - Banished Knights,Camp - Frenzied Flame Troll,Fort - Lordsworn Captain,,,,,Great Church - Guardian Golem,Fort - Crystalians,Great Church - Mausoleum Knight,Fort - Lordsworn Captain,Ruins - Battlemages,Church - Normal,Church - Normal,Small Camp - Guilty,Small Camp - Soldiers,Sorcerer's Rise - Fake Building,,,,Small Camp - Foot Soldiers,Sorcerer's Rise - Withered Trees,Church - Normal,Nox Warriors,Omen,Crystalians,Crucible Knight with Sword,,Grave Warden Duelist,Godskin Noble,Red Wolf,Royal Carian Knight,Black Knife Assassin,Golden Hippopotamus,Night's Cavalry,Death Rite Bird,Miranda Blossom,Bell Bearing Hunter,,,Ancient Hero of Zamor,Leonine Misbegotten,Erdtree Avatar,Putrid Ancestral Followers,Black Blade Kindred,Magma Wyrm,Putrid Ancestral Followers,Draconic Tree Sentinel,Tree Sentinel,Ulcerated Tree Spirit,Southwest,,
34,Gladius,Rotted Woods,Stormhill South of Gate,,Bell Bearing Hunter,Tree Sentinel and Royal Cavalrymen,,West Stormhill Graveyard,Southeast Rotted Woods,Banished Knights,Great Church - Mausoleum Knight,Camp - Elder Lion,Fort - Abductor Virgin,Ruins - Albinaurics,Great Church - Guardian Golem,Great Church - Mausoleum Knight,Fort - Abductor Virgin,,,,,Fort - Crystalians,Ruins - Beastmen of Farum Azula,Camp - Frenzied Flame Troll,Ruins - Beastmen of Farum Azula,Camp - Elder Lion,Sorcerer's Rise - Fleeing Stump,Small Camp - Dogs,Small Camp - Caravans and Nobles,Sorcerer's Rise - Unlit Candle,Church - Normal,,,,Church - Normal,Township - Township,Church - Normal,Godskin Apostle,Grave Warden Duelist,Beastmen of Farum Azula,Dragonkin Soldier,,Crystalians,Banished Knights,Ancient Hero of Zamor,Death Rite Bird,Golden Hippopotamus,Miranda Blossom,Black Knife Assassin,Magma Wyrm,Grafted Scion,Flying Dragon,,,Royal Revenant,Red Wolf,Putrid Ancestral Followers,Ulcerated Tree Spirit,Erdtree Avatar,Royal Carian Knight,Black Blade Kindred,Ancestor Spirit,Putrid Ancestral Followers,Draconic Tree Sentinel,West,,Northwest Corner
